# Formato: nombre|MM-DD|url_perfil
# Ejemplo: Daniela|06-15|https://twitch.tv/daniela

CapiLuisXavi|06-11|https://www.twitch.tv/capiluisxavi
LaLonjuda|03-18|https://www.twitch.tv/lalonjuda
YoCapi|06-26|https://www.twitch.tv/yocapi_pr
DeathFox_122|08-31|https://www.twitch.tv/deathfox_122
pedroedu90p|03-18|https://www.twitch.tv/pedroedu90p
jongm96|05-17|https://www.twitch.tv/jongm96
jongm96|05-17|https://www.twitch.tv/jongm96
mini_yocapito|07-26|https://www.twitch.tv/mini_yocapito
elBryanMC325|08-05|https://www.twitch.tv/elBryanMC325
iris_wlt|08-29|https://www.twitch.tv/iris_wlt
GeometryMay|09-12|https://www.twitch.tv/GeometryMay
tolmenta_zuki|09-25|https://www.twitch.tv/tolmenta_zuki
tade_jesus9|11-01|https://www.twitch.tv/tade_jesus9
BartoSuki|11-14|https://www.twitch.tv/BartoSuki
riobaaichi143442|12-14|https://www.twitch.tv/riobaaichi143442
Fersanch250|12-25|https://www.twitch.tv/Fersanch250
sabbathzuki13|06-14|https://www.twitch.tv/sabbathzuki13
